goods_no,title,rating,content,author,date
S000213682096,무의미의 축제,4,"밀란쿤데라 작가를 좋아해서 출간 10주년 기념에디션이라고 해서 망설임없이 구매했습니다. 원래 민음사 디자인을 좋아해서 하나씩 모으고 있어서 더 기대가 컸습니다. 그런데 이번 책도 역시 디자인은 예쁜데, 이전의 책들과 다르게 겉표지 재질이 별로네요. 겉표지가 코팅이 되어있는 재질이 아니라서 물에도 취약하고 쉽게 더러워지며, 잘 찍히는 재질입니다. 교보문고에 진열되어있는 책들도 진열되지 얼마 되지 않았음에도 다 조금씩 찍힌 곳이 있더라구요. 표지에 뭐가 묻어있어서 살살 닦았음에도 종이가 벗겨져 흰색이 드러났어요. 소장용으로 구매하시는 분들은 표지를 소중히 다뤄주셔야할 듯합니다. 앞으로는 민음사에서 기념에디션 출간할 때 이런 재질의 종이는 사용하지 않았으면 좋겠습니다. 민음사 관계자분들이 보신다면 참고해주셨으면 하는 바람을 담아서 다소 길게 리뷰를 남겼습니다. 
",ju*******,2024-07-27
S000213682096,무의미의 축제,4,참을수없는 그책도 어렵긴했는데 이책도 먼가 어렵네요 ㅋㅋ 책이라는거를 많이 읽어야 작가가 이 책을 통해 전하려는 의미를 알게될듯 ㅋㅋ ,pu********,2024-07-22
S000213682096,무의미의 축제,4,좋아하는 작가 책이라 구매했습니다 기대 돼요,ba********,2025-11-25
S000213682096,무의미의 축제,4,얇아서 간편하게 읽기 좋아요~ 추천합니다,la****,2025-11-05
S000213682096,무의미의 축제,4,밀란 쿤데라 작가를 좋아해서 구매했어요. 생각보다 얇네요. 잘 읽겠습니다,su*******,2025-10-28
S000213682096,무의미의 축제,3,조금 내용이 어려워요 표지는 예뻐요,co*******,2025-10-21
S000213682096,무의미의 축제,4,아직읽어보진않았는데  읽고다시  리뷰쓰겠습니다,ai*****,2025-10-15
S000213682096,무의미의 축제,4,"‘세상을 진지하지 않게 대하는 것 뿐이지’
삶에 문제가 없을때 읽을 만해요.",go*******,2025-10-11
S000213682096,무의미의 축제,4,가성비가심비최고에요 ,af*******,2025-09-20
S000213682096,무의미의 축제,4,무의미하여도 삶을 사랑하라. 사랑하라.,ji******,2025-09-16
S000000620380,불멸,4,필멸의 인간이 불멸의 신을 꿈꿀순 없겠지,np****,2019-09-12
S000000620380,불멸,4,참을수없는 존재의 가벼움외에 더 읽어 보고 싶어서 구입함,je******,2025-12-02
S000000620380,불멸,4,참존가 이후 밀란 쿤데라의 불멸. 아름답다.,ji******,2025-11-18
S000000620380,불멸,4,밀란 쿤데라와 친해지기...,la****,2025-11-05
S000000620380,불멸,4,빠르게 잘 받았습니다,an*******,2025-10-25
S000000620380,불멸,4,좋은 책 잘 쓴 글 좋습니다,ar*****,2025-10-11
S000000620380,불멸,4,"밀란 쿤데라는 언제나 옮다.

매력적인 문장들.
",su*****,2025-09-26
S000000620380,불멸,3,"죽음(불멸)은 역시 삶의 뒷면일뿐이라는 것을 깨닫습니다. 쿤데라옹이 자신의 주제들(농담, 역설, 균열 등)을 독자에게 쉬지않고 떠먹여주다시피해서, 조금 물린것도 없잖아 있었지만 재미있게 읽었습니다!",yd*****,2025-09-02
S000000620380,불멸,4,명작들은 이유가 있습니다!,eh*******,2025-08-16
S000000620380,불멸,4,참을 수 없는 존재의 가벼움 읽고 재미있어서 이것도 읽어보려 합니다,mi********,2025-08-03
S000216968806,"89개의 말 프라하, 사라져 가는 시",4,"89개의 말 프라하, 사라져 가는 시",cr********,2025-07-20
S000216968806,"89개의 말 프라하, 사라져 가는 시",4,"작가가 마치 종말을 예견하기라도 하듯 자신의
작품들을 잔잔하게 회상합니다.
",nh***,2025-07-10
S000216968806,"89개의 말 프라하, 사라져 가는 시",4,밀란 쿤데라는 늘 반갑습니다!,kj*******,2025-07-08
S000216968806,"89개의 말 프라하, 사라져 가는 시",4,"이제는 이 세계에서 볼 수 없지만, 그가 이 땅에서 글을 남겨주어서 너무 고맙다.",nu****,2025-11-29
S000216968806,"89개의 말 프라하, 사라져 가는 시",4,좋은 책 잘 읽겠습니다.,kj*******,2025-10-23
S000216968806,"89개의 말 프라하, 사라져 가는 시",4,아 특별한 사람.. 쿤데라..,ah*****,2025-10-07
S000216968806,"89개의 말 프라하, 사라져 가는 시",4,"세기의 작가 밀란 쿤데라의 마지막 유작입니다
원서 100페이지가 안되는 분량을 출판사 측에서 활자를 키워서 만 원 이상을 받는 꼼수를 부렸네요",my****,2025-08-25
S000216968806,"89개의 말 프라하, 사라져 가는 시",4,밀란 쿤데라 작가의 소설을 모두 읽어봐야 이해가 조금 쉬워요. (참을 수 없는 존재의 가벼움)을 읽고 구매했어요.,60********,2025-08-19
S000216968806,"89개의 말 프라하, 사라져 가는 시",4,쿤데라 팬이면 추천,to******,2025-08-06
S000216968806,"89개의 말 프라하, 사라져 가는 시",4,프랑스언어에 관한 밀란 쿤데라의 글. 작가들이 번역어도 알면 좋겠다. 프랑스어로 번역된 밀란 쿤데라의 '참을 수 없는 존재의 가벼움'을 읽어야겠다. ,ti******,2025-08-04
S000001128399,생은 다른 곳에,4,쿤데라 작품의 주제의식(역사와 개인의 관계 속에서 빚어내는 아이러니)은 대체로 비슷비슷하지만 그럼에도 매번 재밌다.,yd*****,2025-09-19
S000001128399,생은 다른 곳에,4,"쿤데라의 작품 중 제일 재밌는,,, 안정효 번역가님의 번역을 좋아해서 까치 출판사의 책으로 구입했습니다",se********,2025-03-20
S000000621060,자크와 그의 주인,4,"운명은 우리를 어디로 가는지 결코 알지 못하게 한다...
반복의 두려움?
드디어 쿤데라 전집을 완성했네요.",ha*****,2019-03-21
S000000621060,자크와 그의 주인,4,잘 읽힐지 기대하는 도서입니다.,ye****************,2025-05-26
S000000621060,자크와 그의 주인,4,기대되는 책입니다.,kj*******,2024-09-16
S000000621060,자크와 그의 주인,3,"밀란쿤데라 전집의 마지막 권도 잘 읽었습니다.
짧은 희곡 앞뒤로 작가의 말과 평론으로 구성되어 있어요.",fa****,2023-10-16
S000000621060,자크와 그의 주인,4,이런 글은 쿤테라만 가능하고 이해 되어지지 않을까 싶네요. ㅎㅎ,bi***,2022-11-25
S000000621060,자크와 그의 주인,4,"자크와 주인의 여행에 주인의 사랑, 자크의 사랑, 그리고 포므레 부인의 사랑까지 세 가지 사랑 이야기 쿤데라가 희곡 형식으로 완성 했습니다",my****,2022-06-30
S000000621060,자크와 그의 주인,4,밀란 쿤데라 최고입니다,ji*******,2021-08-16
S000000621060,자크와 그의 주인,3,마지막은 드니 디드로에게 바치는 오마주로!,ha*****,2021-01-29
